delito,diasem,mes,tipov,longitud,latitud
183,5,1,0,2,-71.5421676,-33.5208116
184,5,1,1,1,-71.3936192,-33.0407158
185,5,1,9,1,-71.5533983,-33.0126984
186,5,1,16,1,-71.4445793,-33.0497415
187,5,1,17,1,-71.2494858,-32.880427
188,6,1,7,4,-70.7267693,-32.7574791
189,6,1,11,1,-71.5402939,-32.9415169
190,6,1,13,1,-71.405384,-33.0430648
191,6,1,14,2,-71.5179136,-32.9257626
192,6,1,14,2,-71.4098855,-33.042078
193,6,1,14,2,-71.4223619,-33.0729253
194,6,1,19,1,-71.4266568,-33.0493935
195,6,1,22,1,-71.5105005,-32.9201027
196,6,1,22,1,-71.3528039,-33.0372859
197,6,1,23,1,-71.4662289,-33.044387
198,7,1,0,1,-71.5346155,-32.9792861
199,7,1,0,1,-71.5325732,-33.0595047
200,7,1,3,1,-71.6004072,-33.0548489
201,7,1,7,1,-71.4159581,-33.0607723
202,7,1,21,1,-71.6097917,-33.6122028
203,1,1,2,1,-71.4988819,-33.0016925
204,1,1,4,1,-71.2637202,-33.0182527
205,1,1,8,4,-70.7267693,-32.7574791
206,1,1,10,1,-71.110614,-32.8402327
207,1,1,16,1,-71.54825,-32.9332684
208,1,1,21,1,-71.1912961,-32.9964423
209,1,1,23,2,-71.5006724,-32.9901309
210,2,1,3,2,-71.6231453,-33.0495435
211,2,1,4,1,-71.2112487,-32.8001351
212,2,1,4,2,-71.6327298,-33.0473761
213,2,1,6,1,-71.5324192,-33.02745
214,2,1,10,1,-71.6268702,-33.0393996
215,2,1,12,1,-70.9603164,-32.779352
216,2,1,19,1,-71.4129629,-33.0520731
217,2,1,19,1,-71.2145166,-32.7365693
218,2,1,20,3,-71.3689292,-33.0434542
219,3,1,1,1,-71.5287068,-33.0316851
220,3,1,2,6,-71.5331269,-32.7936275
221,3,1,8,1,-71.5196493,-32.9400053
222,3,1,9,2,-71.5817128,-33.0278117
223,3,1,12,1,-71.5139945,-33.0020568
224,3,1,13,1,-71.4315821,-33.0552689
225,3,1,14,1,-71.4242109,-32.9277339
226,3,1,19,6,-71.3565807,-33.0436948
227,3,1,22,3,-71.5466732,-33.0211173
228,3,1,22,3,-71.6199252,-33.0451705
229,4,1,5,1,-71.5987803,-33.0575619
230,4,1,6,1,-71.2159197,-32.736334
231,4,1,9,2,-71.3565807,-33.0436948
232,4,1,9,2,-71.545736,-32.9768722
233,4,1,10,3,-71.5862755,-33.5451787
234,4,1,10,3,-71.5862755,-33.5451787
235,4,1,12,1,-71.3689292,-33.0434542
236,4,1,15,2,-71.3987664,-33.0508369
237,4,1,18,1,-71.386116,-33.046414
238,4,1,18,1,-71.5429763,-33.012129
239,4,1,21,1,-71.5451875,-33.0107519
240,4,1,23,1,-71.5449476,-32.9384849
241,5,1,0,3,-71.5082515,-33.0352016
242,5,1,4,1,-71.6065609,-33.0502611
243,5,1,7,1,-71.3591215,-33.0424772
244,5,1,8,2,-71.4501889,-33.0497193
245,5,1,12,2,-71.5628915,-33.0262547
246,5,1,19,3,-71.6168108,-33.0484583
247,5,1,21,3,-71.551537,-33.0251315
248,5,1,22,1,-71.2120807,-32.8462938
249,5,1,22,3,-71.6615529,-33.4544048
250,5,1,23,1,-71.5444143,-32.9584665
251,6,2,1,1,-71.5983569,-33.6172405
252,6,2,1,4,-109.426397,-27.1599001
253,6,2,3,1,-71.4626948,-33.0547507
254,6,2,4,1,-71.5266504,-32.7902078
255,6,2,5,1,-71.580516,-33.0470032
256,6,2,21,1,-71.3740125,-33.0562222
257,6,2,22,1,-71.54314,-33.0249457
258,6,2,22,1,-71.6373524,-33.0596585
259,7,2,2,1,-71.4328194,-32.6442224
260,7,2,2,1,-71.3573948,-33.0580868
261,7,2,2,1,-71.5648407,-33.5397337
262,7,2,3,1,-71.4092799,-33.0403003
263,7,2,5,3,-71.5814669,-33.0383432
264,7,2,10,6,-71.1924921,-32.7726541
265,7,2,11,1,-71.2506683,-32.8737641
266,7,2,13,1,-71.2875956,-32.9358269
267,7,2,15,1,-71.346187,-33.0400927
268,7,2,18,1,-71.3768989,-33.0561744
269,7,2,20,1,-71.545736,-32.9768722
270,7,2,22,2,-71.4330809,-33.0382441
271,7,2,23,1,-71.5630464,-33.0283334
272,1,2,0,2,-71.533995,-33.0271728
273,1,2,7,1,-71.4129629,-33.0520731
274,1,2,11,4,-71.5263785,-32.9284576
275,1,2,16,6,-71.4952287,-33.1936321
